wrong|correct
Det er ikke altid nemt at forsvarer din opførsel|Det er ikke altid nemt at forsvare din opførsel
Mange drenge interessere sig for fodbold|Mange drenge interesserer sig for fodbold
Vil du inviterer alle dine veninder til fødselsdagen?|Vil du invitere alle dine veninder til fødselsdagen?
Det er svært at vurderer hvor meget bilen er værd|Det er svært at vurdere hvor meget bilen er værd
Min lillesøster spekulere på meningen med livet|Min lillesøster spekulerer på meningen med livet
Jeg gide ikke at reparerer min cykel i dag|Jeg gider ikke at reparere min cykel i dag
Jeg spekulere på hvad jeg skal spiser til aftensmad|Jeg spekulerer på hvad jeg skal spise til aftensmad
Det har jeg svært ved at accepterer|Det har jeg svært ved at acceptere
Hvorfor forsvare du aldrig din bedste ven?|Hvorfor forsvarer du aldrig din bedste ven?
Hvordan vurdere du om du er forelsket?|Hvordan vurderer du om du er forelsket?
Du kan ikke lærer det hele på én dag|Du kan ikke lære det hele på én dag
Nu vil jeg op og smører mig en madpakke|Nu vil jeg op og smøre mig en madpakke
Senere køre jeg hen til dig med kombardo expressen|Senere kører jeg hen til dig med kombardo expressen
Jeg løbe til butikken|Jeg løber til butikken
Han spise sin mad|Han spiser sin mad
Hun læse en bog|Hun læser en bog
De finde en løsning|De finder en løsning
Vi drikke kaffe om morgenen|Vi drikker kaffe om morgenen
Du sidde ved siden af mig|Du sidder ved siden af mig
Jeg skrive en e-mail til min chef|Jeg skriver en e-mail til min chef
Han spille fodbold hver weekend|Han spiller fodbold hver weekend
De stå i kø ved kassen|De står i kø ved kassen
Hun male et billede til sin mor|Hun maler et billede til sin mor
Vi tage bussen til skolen|Vi tager bussen til skolen
Du lægge bogen på bordet|Du lægger bogen på bordet
Han flyve til paris i morgen|Han flyver til paris i morgen
De svømme i søen om sommeren|De svømmer i søen om sommeren
Hun høre musik på sin telefon|Hun hører musik på sin telefon
Vi gå en tur i parken|Vi går en tur i parken
Du give mig en gave på min fødselsdag|Du giver mig en gave på min fødselsdag
Han tage elevatoren op til kontoret|Han tager elevatoren op til kontoret
De løbe en tur hver morgen|De løber en tur hver morgen
Jeg lave mad til min familie|Jeg laver mad til min familie
Han læse avisen hver dag|Han læser avisen hver dag
Hun cykle til arbejde|Hun cykler til arbejde
