wrong|right
 Hygiajne|hygiejne
 abbonement |abonnement
 abonement|abonnement
 acelerere|accelerere
 arengement|arrangement
 arrengement |arrangement
 bordaux|bordeaux
 bordeux |bordeaux
 boulion |bouillon
 boullion|bouillon
 burau|bureau
 buro |bureau
 bydget|Budget
 byget |Budget
 chaffør |chauffør
 chuaffør|chauffør
 diskution|diskussion
 f.x. |fx // f.eks.
 feks |fx // f.eks.
 feks.|fx // f.eks.
 ingeinør|ingeniør
 inginør |ingeniør
 initiv|initiativ
 interesant |interessant
 interweiv|interview
 interwiev |interview
 intresant |interessant
 intressant|interessant
 inu|endnu
 jvf.|jf.
 kaptain|kaptajn
 kaptegn |kaptajn
 karrussel|karrusel
 karussel |karrusel
 konklussion|konklusion
 nevou |niveau
 nivau |niveau
 nivaue|niveau
 pailetter|pailletter
 pallietter |pailletter
 paralel|parallel
 parrallel |parallel
 pritering|prioritering
 profesionel |professionel
 professionel|professionel
 resourant |restaurant
 ressourse|ressource // resurse
 restaurent|restaurant
 resurce |ressource // resurse
 rutschebane|rutsjebane
 rutshebane |rutsjebane
 sattellitter|satellitter
 sekratær|sekretær
 snaksalig|snakkesalig
 souvinir|souvenir
 success|succes
 teresse|terrasse
 terresse |terrasse
 yogurt|yoghurt
 youghurt |yoghurt
 yougurt |yoghurt
 yughurt |yoghurt
Afganistan|Afghanistan
Appeninerne|Appenninerne
Bourgoisi|Bourgeoisi
Bourgoisie|Bourgeoisi
Bourgoisiet|Bourgeoisiet
Cannada|Canada
Caraibien|Caribien
Celcius|Celsius
Danebrog|Dannebrog
Ethiopien|Etiopien
Frederikstaden|Frederiksstaden
Garone|Garonne
Greenwitch|Greenwich
Guiness|Guinness
Guiseppe|Giuseppe
Illiaden|Iliaden
Johanitterordenen|Johanniterordenen
Kanada|Canada
Konstatinopel|Konstantinopel
Melanchton|Melanchthon
Muhammad|Muhammed
Neksø|Nexø
Orknøerne|Orkneyøerne
Padua|Padova
Pensylvania|Pennsylvania
Philippinerne|Filippinerne
Poland|Polen
Pommeren|Pommern
Roguefort|Roquefort
Sachen|Sachsen
Schweitz|Schweiz
Scotland|Skotland
Skagerak|Skagerrak
Storbritanien|Storbritannien
Svejts|Schweiz
Taleban|Taliban
abbonnement |abonnement
abonere|abonnere
absorbtion|absorption
accelleration|acceleration
accellerere|accelerere
accellerere |accelerere
accellererede|accelererede
addresse|adresse
adlen|adelen
adminstration|administration
af vide|at vide
afhængelig|afhængig
afspassere|afspadsere
agressiv|aggressiv
akkomodation|akkommodation
akkomodere|akkommodere
albums|albummer
anderkendt|anerkendt
anerledes|anderledes
anmasende|anmassende
antageligvis|antagelig
antecipere|anticipere
appelere|appellere
apperat|apparat
apperater|apparater
apperatet|apparatet
applomb|aplomb
arangement |arrangement
artikelen|artiklen
artikeler|artikler
autencitet|autenticitet
babyloner|babylonier
barbeque|barbecue
barrak|barak
bekræftige|bekræfte
bekræftigelse|bekræftelse
betegning|betegnelse
biblotek|bibliotek
blæreudslet|blæreudslæt
bogtriologi|bogtrilogi
bolche|bolsje
bolcher|bolsjer
bolcherne|bolsjerne
bolchernes|bolsjernes
bolchers|bolsjers
bolches|bolsjes
bolchet|bolsjet
bolchets|bolsjets
bolsche|bolsje
bolscher|bolsjer
bolscherne|bolsjerne
bolschernes|bolsjernes
bolschers|bolsjers
bolsches|bolsjes
bolschet|bolsjet
bolschets|bolsjets
bonusen|bonussen
bonusens|bonussens
bonuser|bonusser
bonuserne|bonusserne
bonusernes|bonussernes
bonusers|bonussers
bordou |bordeaux
borgerdydsskole|borgerdydskole
box|boks
brochurre|brochure
bronce|bronze
budet|buddet
budets|buddets
buget |Budget
bulion |bouillon
byro |bureau
bærene|bærrene
bødel|bøddel
catamaran|katamaran
cencur|censur
centaur|kentaur
chafør |chauffør
check|tjek
checke|tjekke
chlorofyl|klorofyl
cosmodrom|kosmodrom
cosmodromen|kosmodromen
danere|daner
delegat|delegeret
diamentral|diametral
diamentrale|diametrale
diamentralt|diametralt
diciplin|disciplin
dicipliner|discipliner
dilerium|delirium
dilletant|dilettant
diskusion |diskussion
diskution|diskussion
dyrelæge|dyrlæge
ederfugl|edderfugl
efterkommerer|efterkommere
ekvivalent|ækvivalent
elekttronisk|elektronisk
embalage|emballage
embalere|emballere
erhvers|erhvervs
erimitage|eremitage
erimitagen|eremitagen
ethiopier|etiopier
ethiopiere|etiopiere
ethiopieren|etiopieren
ethiopisk|etiopisk
experiment|eksperiment
experimentere|eksperimentere
experimenterede|eksperimenterede
experimenterer|eksperimenterer
export|eksport
extrem|ekstrem
extreme|ekstreme
extremt|ekstremt
fagterm|fagudtryk
faldbyde|falbyde
faldgrubbe|faldgrube
faldgruppe|faldgrube
fibere|fibre
filipinsk|filippinsk
filosofen|filosoffen
filosofer|filosoffer
financiere|finansiere
financierede|finansierede
financierer|finansierer
financieret|finansieret
folketinget|Folketinget
forbudet|forbuddet
foregrener|forgrener
forgodtbefindene|forgodtbefindende
fornæmme|fornemme
fornæmmer|fornemmer
forpubbe|forpuppe
forspørgsel|forespørgsel
forsæt|fortsæt
fredslutning|fredsslutning
fredslutningen|fredsslutningen
fredsløs|fredløs
fredsløse|fredløse
friluftsmuseer|frilandsmuseer
friluftsmuseet|frilandsmuseet
friluftsmuseum|frilandsmuseum
frådse|fråse
fugleredder|fuglereder
fx. |fx // f.eks.
fælleskab|fællesskab
förmyndarregering|formynderregering
garnision|garnison
generalogi|genealogi
geschæft|gesjæft
gjordt|gjort
gletcher|gletsjer
gletscher|gletsjer
gramatik|grammatik
grønsværet|grønsværen
gulsmed|guldsmed
gulsmede|guldsmede
gulsmeden|guldsmeden
harcellere|harcelere
hensynløs|hensynsløs
hertig|hertug
hieraki|hierarki
histografi|historiografi
hjortvildt|hjortevildt
holdte|holdt
hovede|hoved
hovedsaglig|hovedsagelig
hygiegne |hygiejne
i nu |endnu
ialt|i alt
idag (igår, imorgen)|i dag (i går, i morgen)
ihvertfald|i hvert fald
illyriansk|illyrisk
illyrianske|illyriske
incl. (excl.)|inkl. (ekskl.)
indcheckning|indtjekning
ingenør |ingeniør
intererseret|interesseret
interesant|interessant
interessentselskab|interessentskab
interplanetar|interplanetarisk
interplanetart|interplanetarisk
interveiw |interview
intiativ |initiativ
intrasant |interessant
jagterminilogi|jagtterminologi
jagterminoligi|jagtterminologi
jagterminologi|jagtterminologi
jagtterminilogi|jagtterminologi
jagtterminoligi|jagtterminologi
jfr. |jf.
jorskælv|jordskælv
kalendre|kalendere
kanadisk|canadisk
kanadiske|canadiske
kaptagn |kaptajn
karusel |karrusel
kastanie|kastanje
kemikalium|kemikalie
kenetegnet|kendetegnet
kirug|kirurg
kiruger|kirurger
kirugi|kirurgi
kirugien|kirurgien
kirugisk|kirurgisk
kirugiske|kirurgiske
klokkeslet|klokkeslæt
km2|km²
kokelev|kokkeelev
koleratur|koloratur
kollonade|kolonnade
kollosal|kolossal
kollosale|kolossale
kollosalt|kolossalt
kommite|komité
komnikasjonssatlit|kommunikationssatellit
kompetance|kompetence
konklution |konklusion
konspitorisk|konspiratorisk
konstantere|konstatere
konstanterede|konstaterede
konstanterer|konstaterer
konstantering|konstatering
korint|korinth
korinterbrev|korintherbrev
kromosomantal|kromosomtal
kromosomantallet|kromosomtallet
kvadratkilometre|kvadratkilometer
kvkm|km²
købmandsskab|købmandskab
landsgreve|landgreve
landsgreven|landgreven
lation|latin
laubærblade|laurbærblade
leguster|liguster
linial|lineal
linie|linje
linien|linjen
linier|linjer
liniere|linjere
liniering|linjering
linierne|linjerne
liniær|lineær
liniære|lineære
liniært|lineært
linkse|linke
livsline|livline
loden|lodden
lodent|loddent
læreranstalt|læreanstalt
læreranstalten|læreanstalten
læreranstalter|læreanstalter
mandhjerte|mandshjerte
massere|masser
matematikerer|matematikere
med mindre|medmindre
medlemsskab|medlemskab
menstrutation|menstruation
messehaglet|messehagelen
meteologi|meteorologi
molekylarvægt|molekylvægt
molekylarvægten|molekylvægten
muhammedansk|muslimsk
muhammedanske|muslimske
museumet|museet
museumets|museets
mythologi|mytologi
navnligt|navnlig
nedstirre|nidstirre
nemligt|nemlig
nivou |niveau
nobelprismodtager|nobelpristager
noglesinde|nogensinde
novelist|romanforfatter
onitologer|ornitologer
overbevidst|overbevist
overbevidste|overbeviste
overvinte|overvintre
palietter |pailletter
paradigma|paradigme
paradigmaer|paradigmer
paradigmaet|paradigmet
parafin|paraffin
parantes|parentes
paranteser|parenteser
parantetisk|parentetisk
parralel |parallel
pengvinen|pingvinen
periferiske|perifere
planktonnet|planktonet
points|point
postbudde|postbude
postbuddene|postbudene
postbudet|postbuddet
prefiks|præfiks
prefikser|præfikser
prefikset|præfikset
prefix|præfiks
prefixer|præfikser
prefixet|præfikset
premiereminister|premierminister
premiereministre|premierministre
priotering |prioritering
priviligeret|privilegeret
problemmer|problemer
proffessionel |professionel
proffessor|professor
progromer|pogromer
prositueret|prostitueret
protokolen|protokollen
protokoler|protokoller
provensiel|provinsiel
præcolombiansk|præcolumbiansk
psykiatriker|psykiater
publikumet|publikummet
pytagoras|pythagoras
påbudene|påbuddene
påbudet|påbuddet
rarietet|raritet
rarieteter|rariteter
rarieteterne|rariteterne
reflektion|refleksion
religionsudøvelse|religionsøvelse
reperation|reparation
reperere|reparere
resource |ressource // resurse
resuarant |restaurant
russik|russisk
rutchebane |rutsjebane
rutsche|rutsje
ryggrad|rygrad
ræsonere|ræsonnere
sanskrift|sanskrit
satelit|satellit
satelitter|satellitter
sattelit|satellit
sattelitter |satellitter
schuft|sjuft
sekrætær |sekretær
selvskab|selskab
sendebudene|sendebuddene
sendebudenes|sendebuddenes
sendebudet|sendebuddet
sendebudets|sendebuddets
seperabel|separabel
seperat|separat
serumsinstitut|seruminstitut
shampo|shampoo
silicone|silikone
sindsygt|sindssygt
sjete|sjette
skredene|skreddene
skredenes|skreddenes
skredet|skreddet
skredets|skreddets
sku|sgu
skudene|skuddene
skudenes|skuddenes
skudet|skuddet
skudets|skuddets
snaksaglig |snakkesalig
snedækt|snedækket
snedækte|snedækkede
sovjettisk|sovjetisk
sovjettiske|sovjetiske
sportig|sporty
sportige|sporty
sportigt|sporty
spydene|spyddene
spydenes|spyddenes
spydet|spyddet
spydets|spyddets
spørsmål|spørgsmål
